[INFO]	2023-01-08 17:58:40,887	django.utils.autoreload.run_with_reloader:677	Watching for file changes with StatReloader
[DEBUG]	2023-01-08 17:58:40,889	django.utils.autoreload.run:330	Waiting for apps ready_event.
[DEBUG]	2023-01-08 17:58:41,583	django.utils.autoreload.run:342	Apps ready_event triggered. Sending autoreload_started signal.
[DEBUG]	2023-01-08 17:58:41,633	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\templates with glob **/*.
[DEBUG]	2023-01-08 17:58:41,633	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\accounts\templates with glob **/*.
[DEBUG]	2023-01-08 17:58:41,634	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\allauth\templates with glob **/*.
[DEBUG]	2023-01-08 17:58:41,635	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\img_trans\templates with glob **/*.
[DEBUG]	2023-01-08 17:58:41,635	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,635	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\django_static_md5url\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,636	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\widget_tweaks\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,636	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\allauth\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,637	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\allauth\account\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,637	django.utils.autoreload.watch_dir:296	Watching dir c:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,637	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\accounts\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,638	django.utils.autoreload.watch_dir:296	Watching dir C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\img_trans\locale with glob **/*.mo.
[DEBUG]	2023-01-08 17:58:41,714	django.db.backends.debug_sql:132	(0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
[DEBUG]	2023-01-08 17:58:41,755	django.db.backends.debug_sql:132	(0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
[DEBUG]	2023-01-08 17:58:42,079	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\_lib\_pep440.py first seen with mtime 1667698056.2336116
[DEBUG]	2023-01-08 17:58:42,079	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\__config__.py first seen with mtime 1668303551.2201562
[DEBUG]	2023-01-08 17:58:42,079	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\ao\nn\quantized\__init__.py first seen with mtime 1668303551.1139314
[DEBUG]	2023-01-08 17:58:42,079	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\datasets\sun397.py first seen with mtime 1668303590.6937697
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\onnx\errors.py first seen with mtime 1668303536.8586538
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\special\_specfun.cp310-win_amd64.pyd first seen with mtime 1667698055.9985273
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\optimize\_linprog_highs.py first seen with mtime 1667698055.5108378
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1665793715.649754
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\ao\nn\quantized\modules\embedding_ops.py first seen with mtime 1668303551.1013877
[DEBUG]	2023-01-08 17:58:42,080	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1665793713.8708243
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\transforms\functional_pil.py first seen with mtime 1668303590.5406375
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\linalg\_decomp_qr.py first seen with mtime 1667698055.3638449
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributions\geometric.py first seen with mtime 1668303550.5469356
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\_dia.py first seen with mtime 1667698055.750518
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\csgraph\_reordering.cp310-win_amd64.pyd first seen with mtime 1667698055.7805178
[DEBUG]	2023-01-08 17:58:42,081	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\utils\data\communication\map.py first seen with mtime 1668303536.6183348
[DEBUG]	2023-01-08 17:58:42,082	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\package\analyze\trace_dependencies.py first seen with mtime 1668303536.771727
[DEBUG]	2023-01-08 17:58:42,082	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\importlib\_adapters.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,082	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1665793715.533754
[DEBUG]	2023-01-08 17:58:42,082	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\_lib\messagestream.cp310-win_amd64.pyd first seen with mtime 1667698056.2256117
[DEBUG]	2023-01-08 17:58:42,082	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\distributions\fishersnedecor.py first seen with mtime 1668303550.548554
[DEBUG]	2023-01-08 17:58:42,083	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\widget_tweaks\templatetags\widget_tweaks.py first seen with mtime 1665819890.0377338
[DEBUG]	2023-01-08 17:58:42,083	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\config\settings\__init__.py first seen with mtime 1665797804.0
[DEBUG]	2023-01-08 17:58:42,083	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\utils\data\datapipes\dataframe\structures.py first seen with mtime 1668303536.607822
[DEBUG]	2023-01-08 17:58:42,084	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\cv2\mat_wrapper\__init__.py first seen with mtime 1666432535.8717391
[DEBUG]	2023-01-08 17:58:42,084	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\numpy\core\_dtype_ctypes.py first seen with mtime 1666432530.3452017
[DEBUG]	2023-01-08 17:58:42,084	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\nn\intrinsic\modules\__init__.py first seen with mtime 1668303536.9417458
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\extract.py first seen with mtime 1667698055.737518
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\spatial\_qhull.cp310-win_amd64.pyd first seen with mtime 1667698055.9073417
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\xmlrpc\__init__.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\data.py first seen with mtime 1667698055.7355187
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\DLLs\_hashlib.pyd first seen with mtime 1654500276.0
[DEBUG]	2023-01-08 17:58:42,085	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\onnx\_exporter_states.py first seen with mtime 1668303536.8614297
[DEBUG]	2023-01-08 17:58:42,086	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\optimize\_trustregion_ncg.py first seen with mtime 1667698055.5428379
[DEBUG]	2023-01-08 17:58:42,086	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1665793715.6587603
[DEBUG]	2023-01-08 17:58:42,086	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\linalg\_flinalg.cp310-win_amd64.pyd first seen with mtime 1667698055.3828378
[DEBUG]	2023-01-08 17:58:42,086	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\_csparsetools.cp310-win_amd64.pyd first seen with mtime 1667698055.7485235
[DEBUG]	2023-01-08 17:58:42,086	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\inspect.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\linalg\_isolve\_iterative.cp310-win_amd64.pyd first seen with mtime 1667698055.8413427
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\.vscode\extensions\ms-python.python-2022.20.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py first seen with mtime 1671268356.870874
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\lil.py first seen with mtime 1667698055.738518
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\optimize\__nnls.cp310-win_amd64.pyd first seen with mtime 1667698055.5508382
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\tqdm\utils.py first seen with mtime 1668306039.2803445
[DEBUG]	2023-01-08 17:58:42,087	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\cv2\version.py first seen with mtime 1666432535.8357387
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\.vscode\extensions\ms-python.python-2022.20.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored\bytecode\flags.py first seen with mtime 1671268356.9876678
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\ao\nn\quantized\functional.py first seen with mtime 1668303551.112714
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\autograd\function.py first seen with mtime 1668303550.9331553
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_property_bag.py first seen with mtime 1668303536.8243113
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\autograd\profiler.py first seen with mtime 1668303550.9236257
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1665793712.9115436
[DEBUG]	2023-01-08 17:58:42,088	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\masked\__init__.py first seen with mtime 1668303536.9630733
[DEBUG]	2023-01-08 17:58:42,089	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\traceback.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,089	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1665793715.539754
[DEBUG]	2023-01-08 17:58:42,089	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1665793715.619756
[DEBUG]	2023-01-08 17:58:42,089	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\contextvars.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,089	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\ops\stochastic_depth.py first seen with mtime 1668303590.5531492
[DEBUG]	2023-01-08 17:58:42,090	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1665793715.4187543
[DEBUG]	2023-01-08 17:58:42,090	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\fx\traceback.py first seen with mtime 1668303550.484146
[DEBUG]	2023-01-08 17:58:42,090	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\sparse\dok.py first seen with mtime 1667698055.7365181
[DEBUG]	2023-01-08 17:58:42,090	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\optimize\_linprog_rs.py first seen with mtime 1667698055.5118394
[DEBUG]	2023-01-08 17:58:42,090	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\backends\mps\__init__.py first seen with mtime 1668303550.8949358
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1665793715.6567538
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torch\onnx\symbolic_opset17.py first seen with mtime 1668303536.8510964
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1665793712.9165442
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\importlib\util.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1665793715.4217577
[DEBUG]	2023-01-08 17:58:42,091	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\scipy\linalg\_decomp_svd.py first seen with mtime 1667698055.3658378
[DEBUG]	2023-01-08 17:58:42,092	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\ops\misc.py first seen with mtime 1668303590.5619953
[DEBUG]	2023-01-08 17:58:42,092	django.utils.autoreload.tick:394	File C:\Users\kyusa\AppData\Local\Programs\Python\Python310\Lib\json\encoder.py first seen with mtime 1654500166.0
[DEBUG]	2023-01-08 17:58:42,092	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\models\efficientnet.py first seen with mtime 1668303590.610116
[DEBUG]	2023-01-08 17:58:42,092	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1665793715.6247604
[DEBUG]	2023-01-08 17:58:42,092	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\allauth\socialaccount\adapter.py first seen with mtime 1639132060.0
[DEBUG]	2023-01-08 17:58:42,093	django.utils.autoreload.tick:394	File C:\Users\kyusa\Documents\konno\work\51_Portfolio\005\venv\Lib\site-packages\torchvision\models\vision_transformer.py first seen with mtime 1668303590.5840757
